,go,pv,k,n,N,genes
37,GO_DETECTION_OF_VIRUS,0.008084976554327493,2,4,284,DDX58;IFIH1
25,GO_CO_SMAD_BINDING,0.008084976554327493,2,4,284,FOXH1;PAX6
47,GO_CATION_CHLORIDE_SYMPORTER_ACTIVITY,0.008084976554327493,2,4,284,SLC12A5;SLC12A8
45,GO_GOLGI_MEDIAL_CISTERNA,0.008084976554327493,2,4,284,SLC10A7;YIPF6
49,GO_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION,0.008084976554327493,2,4,284,DDX1;DDX58
23,GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,0.008169944060577857,8,77,284,ATG4C;CASP10;CTSO;MINDY3;PIGK;STAMBP;UCHL5;USP1
42,GO_INTRACELLULAR_TRANSPORT,0.008181377563004104,47,881,284,APPL1;ARFIP1;ARL1;ARL5A;ARV1;BCAP29;BNIP3L;CAMK1;CDC40;CHM;CHMP3;CSE1L;DCTN4;DYNC1I2;EPS15;GOLGA7;IER3IP1;IMMP2L;IPO8;LARS1;LEPROT;MTM1;PECR;RAB5B;RAB6A;RABL3;RANBP6;SEC62;SEL1L;SGTB;SNX6;SP100;STOM;STX17;STYX;TBC1D15;TBC1D23;TBCK;TLK1;TMEM167A;TMEM30A;TMEM87A;UHMK1;VAMP3;VPS50;XPOT;ZW10
51,GO_ENDOSOME_MEMBRANE,0.00846720580578224,16,219,284,APPL1;AQP4;CD300LG;CHMP3;EPS15;HSD17B6;ITCH;ITM2B;LAMTOR3;LEPROT;NDFIP1;RAB5B;SCAMP1;SNX6;TAB2;VAMP3
29,GO_PROTEIN_DOMAIN_SPECIFIC_BINDING,0.008685635411525687,20,298,284,AIDA;ARFIP1;ARL1;CARD16;CASP10;EPS15;FOXH1;MPP7;NCK1;NDFIP1;PAX6;PPP3R1;RAB6A;RB1;SP100;STAMBP;STRN;STYX;UVRAG;XPA
17,GO_CELL_VOLUME_HOMEOSTASIS,0.009062271585756449,3,12,284,AQP4;SLC12A5;SLC12A8
15,GO_PHOSPHATIDYLSERINE_METABOLIC_PROCESS,0.009062271585756449,3,12,284,OSBPL8;PLA2G12A;SERINC1
4,GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,0.009758277332620533,6,49,284,EPS15;EXOC2;EXOC6;GOLGA7;SCAMP1;VAMP3
7,GO_GLUCOSE_IMPORT,0.009946518277819725,4,23,284,APPL1;CREBL2;OSBPL8;PID1
