,go,pv,k,n,N,genes
291,GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,4.52394260740432e-46,91,116,1367,MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS34;MRPS7;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;UBA52
267,GO_RIBOSOMAL_SUBUNIT,6.601474439506881e-46,95,125,1367,MALSU1;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;UBA52
230,GO_RIBOSOME,4.442180072205002e-45,103,145,1367,APEX1;AURKAIP1;CHCHD1;EEF2;EIF3H;GADD45GIP1;MALSU1;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;NUFIP1;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SRP68;UBA52
329,GO_VIRAL_GENE_EXPRESSION,1.3270378548540778e-37,85,119,1367,EIF3D;EIF3F;EIF3G;EIF3L;HDAC1;IFITM3;NDC1;NUP188;POLR2C;POLR2E;POLR2G;POLR2J;POLR2L;PSMC3;PTBP1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SEC13;SMARCB1;SPCS1;SUPT4H1;TRIM21;TRIM8;UBA52;USF2
279,GO_CYTOSOLIC_RIBOSOME,7.262203916229549e-37,65,77,1367,NUFIP1;RACK1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;UBA52
179,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,2.7377943566729663e-34,66,83,1367,PPP2R1A;PYM1;RBM8A;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;UBA52
341,GO_PEPTIDE_BIOSYNTHETIC_PROCESS,5.063111361915597e-33,159,353,1367,AARS1;AIMP2;APEH;AURKAIP1;C1QBP;CALR;CAPRIN1;CDC123;CDK4;CHAC2;CHCHD1;DHPS;DPH2;DRG2;EARS2;EEF1A1;EEF2;EEFSEC;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4EBP1;EIF4EBP3;EIF4H;EIF5A;ERAL1;FARS2;FARSA;FTSJ1;GADD45GIP1;GAPDH;GATB;GGT1;GLE1;HARS1;HNRNPL;IARS2;KARS1;KHDRBS1;KHSRP;MALSU1;MARS2;METAP1;MGST2;MIF4GD;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;MTPN;OGFOD1;OXA1L;POLR2G;PPP1CA;PYM1;QARS1;RACK1;RBM8A;RMND1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SHMT1;SHMT2;TRAP1;TRMT112;TRUB2;TUFM;UBA52;VARS1;YARS2
316,GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1.395515729379741e-32,66,86,1367,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SRP14;SRP68;SSR2;UBA52
226,GO_LARGE_RIBOSOMAL_SUBUNIT,1.150381569526934e-31,62,79,1367,MALSU1;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS18A;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;UBA52
71,GO_PEPTIDE_METABOLIC_PROCESS,1.6658388187412475e-31,174,414,1367,AARS1;ABCG1;AIMP2;APEH;APH1A;AURKAIP1;C1QBP;CALR;CAPRIN1;CDC123;CDK4;CHAC2;CHCHD1;CPQ;CTSH;DHPS;DPH2;DRG2;EARS2;ECE2;EEF1A1;EEF2;EEFSEC;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4EBP1;EIF4EBP3;EIF4H;EIF5A;ERAL1;ETHE1;FARS2;FARSA;FTSJ1;GADD45GIP1;GAPDH;GATB;GGT1;GLE1;GPX1;GPX4;GSK3A;GSTK1;GSTP1;HARS1;HNRNPL;IARS2;KARS1;KHDRBS1;KHSRP;MALSU1;MARS2;METAP1;MGST2;MIF4GD;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;MTPN;OGFOD1;OXA1L;PARK7;POLR2G;PPP1CA;PTGES;PYM1;QARS1;RACK1;RBM8A;RMND1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS7;RPS8;RPS9;SHMT1;SHMT2;SPCS1;TMED10;TRAP1;TRMT112;TRUB2;TUFM;UBA52;VARS1;YARS2
