,go,pv,k,n,N,genes
58,GO_CILIUM,2.3763284895031164e-13,93,210,1656,ADCY10;AHI1;AKAP4;ANKS3;ARL13A;ARR3;ATG14;BBIP1;BBS4;BBS5;CATSPER2;CATSPER4;CCDC66;CCDC68;CCP110;CDK10;CENPJ;CEP128;CEP162;CEP164;CEP290;CEP78;CEP83;CFAP298;CFAP44;CFAP69;CFAP70;CNTRL;CPLANE1;DCDC2C;DNAAF1;DNAH1;DNAH17;DNALI1;DNHD1;DRD2;DYNC2LI1;DZIP1L;EFCAB2;EFCAB7;ELMOD3;FBF1;GUCA1B;IFT122;IFT27;IFT80;IFT81;INPP5E;INTU;IQCB1;KIAA0586;KIF27;KIF3A;MKS1;MOK;MOSMO;NPHP1;NPHP3;ODF2L;OFD1;PCDH15;PCM1;PDZD7;PMFBP1;PPEF2;PRKAR2B;QRICH2;RABL2B;RHO;ROPN1B;RPGR;SCLT1;SLC9C1;TAPT1;TAS2R4;TAS2R43;TBC1D32;TOGARAM1;TRIP11;TSSK4;TTBK2;TTC21A;TTC21B;TTLL3;TTLL7;TUB;TXNDC8;USH2A;WBP2NL;WDR11;WDR19;WDR60;WHRN
17,GO_CILIUM_ORGANIZATION,7.294374898791029e-13,73,152,1656,AHI1;AKAP4;AKAP9;ARL13A;ARMC2;ATAT1;AVIL;BBIP1;BBS4;BBS5;CCDC66;CCP110;CDK10;CENPJ;CEP120;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP72;CEP78;CEP83;CFAP298;CFAP44;CNTRL;CPLANE1;DNAAF1;DNAH1;DYNC2LI1;DZIP1L;FBF1;HAUS3;HAUS5;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIF27;KIF3A;MKS1;NPHP1;NPHP3;ODF2L;OFD1;PCM1;PRKAR2B;RABL2B;RFX3;ROPN1B;RPGR;SCLT1;SFI1;STK36;TAPT1;TBC1D32;TCHP;TOGARAM1;TRIP11;TTBK2;TTC17;TTC21A;TTC21B;TTLL3;TUB;WDR11;WDR19;WDR60;WDR90
45,GO_CENTRIOLE,9.05454065359031e-13,36,53,1656,AHI1;BBS4;CCDC68;CCP110;CENPJ;CEP120;CEP128;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP295;CEP78;CEP83;DZIP1L;FBF1;IQCB1;KIAA0586;KIAA0753;KIF3A;MDM1;MKS1;MPHOSPH9;NEURL4;ODF2L;OFD1;PCM1;RABL2B;SASS6;SCLT1;SFI1;STARD9;TTBK2;WDR90
4,GO_CELL_PROJECTION_ASSEMBLY,1.373029984110367e-07,81,217,1656,AHI1;AKAP4;AKAP9;ARHGEF7;ARL13A;ARMC2;ATAT1;AVIL;BBIP1;BBS4;BBS5;C15orf62;CCDC66;CCP110;CDK10;CENPJ;CEP120;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP72;CEP78;CEP83;CFAP298;CFAP44;CNTRL;CPLANE1;DNAAF1;DNAH1;DYNC2LI1;DZIP1L;FBF1;FGD6;FMR1;HAUS3;HAUS5;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIF27;KIF3A;MKS1;NPHP1;NPHP3;ODF2L;OFD1;PCM1;PLXNB3;PPP1R9A;PRKAR2B;QRICH2;RABL2B;RAPGEF6;RFX3;RPGR;SCLT1;SFI1;SH2B1;SPATA13;SRGAP2C;STK36;TAPT1;TBC1D32;TCHP;TENM1;TOGARAM1;TRIP11;TTBK2;TTC21B;TTLL3;WDR11;WDR19;WDR60;WDR90
50,GO_MOTILE_CILIUM,2.8605095850614065e-07,28,51,1656,ADCY10;AKAP4;BBS4;CATSPER2;CATSPER4;CFAP44;CFAP69;DCDC2C;DNAH1;DNAH17;DNALI1;DRD2;DYNC2LI1;EFCAB2;IFT27;IFT81;INTU;NPHP1;PMFBP1;QRICH2;ROPN1B;RPGR;SLC9C1;TAS2R43;TSSK4;TXNDC8;WBP2NL;WDR19
59,GO_CILIARY_BASAL_BODY,7.282778722291162e-07,27,50,1656,AHI1;BBS4;BBS5;CCDC66;CDK10;CENPJ;CEP290;CEP78;DYNC2LI1;DZIP1L;FBF1;IFT122;IFT81;INTU;KIAA0586;MKS1;ODF2L;OFD1;PCM1;RABL2B;RPGR;TAPT1;TOGARAM1;TTBK2;USH2A;WDR11;WHRN
57,GO_MICROTUBULE_ORGANIZING_CENTER,1.5336413141500783e-06,103,308,1656,AHI1;AKAP9;ANKRD26;BBS4;BBS5;BICD1;BOD1L1;C2CD5;CAMK2B;CAPRIN2;CCDC116;CCDC14;CCDC15;CCDC66;CCDC68;CCNE2;CCP110;CDC16;CDK10;CDK5RAP3;CENPJ;CEP120;CEP128;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP295;CEP44;CEP57L1;CEP72;CEP78;CEP83;CEP85L;CEP95;CNTRL;CSPP1;DCDC2C;DYNC2LI1;DZIP1L;EVI5;EYA3;FBF1;HAUS3;HAUS5;HMBOX1;HOOK2;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIAA0753;KIF3A;KIZ;LRRC7;MDM1;MICALL2;MKS1;MPHOSPH9;NEIL1;NEURL4;ODF2L;OFD1;ORC2;PATJ;PCM1;PKN2;PLA2G6;PPP1R12A;PRKAR2B;RABL2B;RAPGEF6;RAPSN;RBBP6;RBM39;RPGR;SASS6;SCLT1;SFI1;SLF1;SPDL1;SPPL2B;STARD9;TAF1D;TAPT1;TCHP;TOGARAM1;TTBK2;TUBE1;TUBGCP4;TUBGCP5;TUBGCP6;UPF3B;USH2A;WDR11;WDR60;WDR90;WHRN
82,GO_MEIOSIS_I_CELL_CYCLE_PROCESS,1.82427894738065e-06,26,49,1656,AGO4;ATM;BTBD18;C11orf80;C14orf39;CCNE2;CENPC;CNTD1;FANCM;HFM1;MLH3;MRE11;MSH4;MSH5;MYBL1;PRDM7;PSMC3IP;RAD54B;RNF212B;SHOC1;SUN1;SYCE2;SYCP2;SYCP3;UBR2;WEE2
84,GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING,1.82427894738065e-06,26,49,1656,AHI1;AKAP9;CCP110;CENPJ;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP72;CEP78;CEP83;CNTRL;FBF1;HAUS3;HAUS5;IQCB1;MKS1;NPHP1;OFD1;PCM1;PRKAR2B;SCLT1;SFI1;TTBK2
51,GO_CILIARY_TRANSITION_ZONE,7.339516816191613e-06,16,25,1656,AHI1;BBS4;CCDC66;CEP290;CPLANE1;DYNC2LI1;IFT122;IQCB1;MKS1;NPHP1;PCM1;PDZD7;TTBK2;USH2A;WDR19;WHRN
77,GO_INTRACILIARY_TRANSPORT,1.0215961681453097e-05,15,23,1656,DYNC2LI1;IFT122;IFT27;IFT80;IFT81;KIF3A;PCM1;RABL2B;RPGR;TRIP11;TTC21A;TTC21B;TUB;WDR19;WDR60
