CL,gene
CL1,A4GALT;ABHD15;ABHD8;ACADS;ACBD6;ACO1;ACTN1;ACTR1B;AGPAT1;AKT1;AKT1S1;AKT2;ALDH18A1;ALDH9A1;ALKBH7;AMBRA1;AP1M1;AP1M2;AP2A1;APLP2;ARHGAP1;ARL2;ARPC1A;ASH2L;ASMTL;ATG13;ATP5F1D;ATXN7L3;AXL;B3GALT4;B3GNT8;B3GNT9;B4GALT2;BAD;BBC3;BCL7C;BOK;BOP1;BTBD2;C10orf143;C11orf68;C12orf57;C17orf64;C19orf12;C1R;C1S;C1orf216;C1orf56;C3;C6orf226;C9orf64;CALB2;CALHM2;CALM3;CAPN1;CARM1;CBX4;CCDC107;CCDC124;CCDC51;CCDC71;CCNY;CD151;CD2BP2;CD320;CD81;CDIPT;CDK2AP1;CDKN2AIPNL;CDKN2C;CDRT15;CELA2B;CENPB;CHD4;CHMP6;CHMP7;CHODL;CHPF;CHST14;CHST8;CHTF8;CLEC10A;CLEC11A;CLNS1A;CLU;CMBL;CNP;COPZ2;CPE;CPZ;CRADD;CRAT;CRB3;CRTAP;CST2;CSTF1;CTBP1;CTDP1;CTNNBIP1;CTSW;CUEDC2;CYB5R3;DAGLA;DCTN5;DDO;DDRGK1;DDX54;DEXI;DGCR6L;DHRS4;DHX30;DNAAF5;DNAJA3;DNAJC4;DNPEP;DOK5;DOLK;DTNBP1;ECI1;ECSIT;EEF1AKNMT;EEF1D;EGFLAM;EI24;ELAC2;ELP3;EMC6;ENDOD1;EPB41L1;EPHA5;EPN1;ERCC2;ESRRA;ETV2;EVI5L;EXOC4;EXT2;F2RL1;FAHD2B;FAIM2;FAM189B;FAM207A;FAM220A;FAM3A;FAM89B;FBLN2;FBXL14;FBXO6;FBXW5;FCRLB;FITM2;FKBP8;FKBPL;GALK1;GALNT2;GGACT;GGT5;GLUD2;GML;GPAA1;GPKOW;GPR137;GPR21;GPS1;GPX5;GSTM4;GTF2F1;GZMM;H1-0;H1-10;H3C15;HAS1;HCFC1;HDDC2;HLA-A;HNRNPUL1;HOXA1;HOXA10;HSPB1;IFI35;IFI6;IGFBP4;IGSF8;IL17RC;IMP3;INHBC;ISM2;JMJD4;JMJD8;KCNJ8;KCNK15;KCTD10;KCTD14;KEAP1;KLHL26;KRTAP12-1;LANCL2;LASP1;LHX3;LMNB2;LPAR1;LRP3;LRRC38;LRRC61;LRRN4;LSP1;LY6E;LYRM4;MAF1;MANBAL;MCM5;MCRIP1;MEIS3;METTL26;MFSD10;MGAT2;MGAT4B;MGMT;MGP;MKRN2;MMP24;MON1A;MOSPD3;MPG;MPST;MRM2;MRM3;MRPL2;MRPL43;MRPL45;MRPL49;MTCH1;MVB12A;MYG1;MYL6B;MZT2A;MZT2B;NAGS;NKX6-1;NLE1;NLRX1;NME4;NOA1;NOP53;NPFFR2;NPRL3;NPY;NRSN2;NSUN5;NT5DC2;NT5M;NUBP2;NUDCD3;NUDT16L1;NUDT18;NUDT8;NUP62;OAF;OAS1;OLFM2;OR4D6;OR4N2;OR6F1;OR7E24;P2RY6;PAFAH1B3;PAOX;PCDHAC2;PCDHGA10;PCIF1;PCP4;PDE1A;PEMT;PEX10;PGLS;PHETA2;PIGS;PINK1;PIP5K1C;PLAAT5;PLPPR5;PLTP;PLVAP;POFUT1;POP7;PORCN;PPIAL4A;PPIAL4G;PPIC;PPP1R3D;PPP2R5D;PRAF2;PRDX2;PRKCSH;PROCR;PRPF31;PRR9;PRRG2;PRRX2;PSEN2;PSKH1;PSMB8;PTDSS2;PTPA;PTPN23;PTRHD1;PXMP2;QDPR;RAB11B;RAB11FIP5;RABAC1;RALY;RBCK1;RBM42;RBP5;RBP7;RETREG2;RGMA;RHOC;RHOF;RNF121;RNF187;RNF216;RNF26;ROM1;ROR2;RPA1;RPS19BP1;RPTOR;RPUSD1;RRAGA;RRP7A;RTL8B;RTL8C;RTN4RL1;RUSF1;SCAP;SCN1B;SDF4;SEC24C;SEMA4F;SERGEF;SERPINA5;SERPINH1;SF3A1;SF3A2;SHCBP1L;SHISA4;SHOX;SHOX2;SLC10A3;SLC25A1;SLC25A4;SLC25A43;SLC35G1;SLC38A10;SLC39A3;SLC39A4;SLC41A3;SLC46A2;SLITRK4;SMOX;SMPD1;SMR3A;SNAP47;SNRPA;SNRPN;SOX30;SPATC1L;SPR;SPRYD3;ST3GAL3;STK32B;STOML1;STUB1;SUSD3;TAB1;TADA3;TAF6;TAPBPL;TBC1D10B;TBL2;TBX20;TCTN3;TEX261;TFDP1;TGFB3;THAP11;THAP8;THEM6;THOC3;TIMM13;TM9SF1;TMCO3;TMED1;TMED4;TMEM101;TMEM102;TMEM115;TMEM184B;TMEM222;TMEM223;TMEM266;TMEM39B;TMUB1;TNFSF12;TOLLIP;TOR4A;TP53;TPSAB1;TPST1;TRAPPC6A;TRIB3;TRIP6;TRMT61A;TSC22D4;TSEN34;TSPAN17;TSPAN4;TSR3;TUBB;TWIST2;TWNK;UBAC2;UBE2E2;UBL4A;UBR7;UBTD1;UBXN1;UBXN6;UCK1;UCK2;UFSP1;UNC45A;UNG;UQCC3;UQCRHL;USP18;VAX2;VPS28;VPS51;VPS72;VWA1;WBP1L;WDR24;WT1;WWP2;XPNPEP2;YDJC;YIPF2;ZBTB42;ZBTB7B;ZFAND3;ZFPM1;ZIC1;ZNF524;ZNF576;ZNF581;ZNF628;ZNF668;ZYX
CL2,AAMP;AAR2;AARD;AARS1;ABCB7;ABCD1;ABCF2;ABCG1;ABHD14A;ABHD14B;ABHD4;ABI3;ABT1;ACAA1;ACAA2;ACKR1;ACLY;ACO2;ACOT2;ACOT4;ACTB;ACTG1;ACTL6A;ACTR1A;ACTR8;ACY1;ACY3;ACYP2;ADAM15;ADAMTSL4;ADCK2;ADCY3;ADM5;ADRA2A;ADRM1;ADSL;AGA;AGPAT2;AGPAT3;AGTRAP;AHCY;AIMP2;AIP;AK2;AKIP1;AKR7A2;ALAD;ALDH16A1;ALDH1B1;ALG1;ALG12;ALG14;ALG3;ALKBH2;ALKBH3;ALX4;ALYREF;AMFR;ANAPC11;ANGPT4;ANGPTL6;ANKRD39;ANXA4;AP1S1;AP2M1;AP2S1;AP3D1;AP5S1;APEH;APEX1;APEX2;APH1A;APMAP;APOBEC3C;APRT;ARAF;ARF1;ARF3;ARF5;ARHGAP15;ARHGDIA;ARHGDIB;ARL11;ARMC6;ARPC1B;ARPC5;ARSA;ASB13;ASCC1;ASL;ATF5;ATG7;ATOX1;ATP13A1;ATP5F1A;ATP5F1B;ATP5MC1;ATP5MC2;ATP5MF;ATP6V0C;ATP6V0D1;ATPAF2;ATRAID;ATXN10;AURKAIP1;AVEN;B3GAT3;B4GALT7;BAG6;BAK1;BANF1;BCKDHA;BCKDK;BCL2L13;BCL7B;BET1L;BEX2;BID;BLOC1S1;BLOC1S4;BLVRA;BLVRB;BNC1;BOD1;BOLA2-SMG1P6;BOLA2B;BOLA3;BRI3;BRMS1;BSCL2;BSG;BST1;C11orf24;C12orf66;C15orf39;C16orf89;C16orf91;C19orf38;C19orf47;C19orf53;C1QA;C1QB;C1QBP;C1QC;C1QTNF1;C1orf122;C1orf53;C2;C20orf27;C7orf50;C8orf33;C9orf16;CACFD1;CALR;CALU;CANT1;CAPN15;CAPNS1;CAPRIN1;CAPZB;CARD19;CATSPER1;CCDC115;CCDC198;CCDC22;CCDC69;CCDC86;CCDC97;CCL17;CCL24;CCND3;CCNQ;CCT3;CCT4;CCT7;CCT8;CD101;CD1D;CD209;CD276;CD300C;CD33;CD37;CD40;CDC123;CDC37;CDC42EP4;CDIP1;CDK2AP2;CDK4;CDK5;CDKN2A;CEACAM8;CENPX;CERS2;CFL1;CHAC2;CHCHD1;CHCHD2;CHCHD5;CHEK1;CHI3L1;CHIA;CHID1;CHMP1A;CHMP2A;CHPF2;CHRNB4;CHRNE;CIAO1;CIAO2B;CIAPIN1;CIDEB;CINP;CISD1;CISD3;CKS1B;CLCN7;CLP1;CLPP;CLPTM1;CLPTM1L;CLTA;CLUH;CMSS1;CNN2;CNPPD1;CNPY3;COA4;COA7;COASY;COL9A3;COMMD5;COMT;COPA;COPE;COPG1;COPS6;COPS7A;COPS9;COPZ1;CORO1B;CORO2A;COX10;COX14;COX15;COX4I1;COX5B;COX6A1;COX7C;COX8A;CPQ;CREB3;CREB3L1;CRELD1;CRYL1;CSK;CSNK1A1;CST3;CSTF2T;CTDNEP1;CTNNBL1;CTSC;CTSH;CTU2;CUTA;CYB561A3;CYB561D2;CYB5R1;CYBA;CYC1;CYP2B6;CYSLTR1;DAD1;DAP;DAXX;DAZAP2;DBNL;DCAF11;DCK;DCPS;DCTD;DCTN2;DCTN3;DCTPP1;DDA1;DDB1;DDOST;DDT;DDX28;DDX31;DDX41;DDX49;DEFB126;DENND1A;DGAT2;DHPS;DHRS13;DHRS4L2;DHRS7;DHRS7B;DHRSX;DHX37;DKC1;DLST;DMAC1;DMAC2;DNAJC14;DNAJC30;DNAJC5;DOC2B;DOK2;DOLPP1;DPH2;DPM3;DPP7;DPPA5;DRAP1;DRG2;DTD1;DTX1;DTX2;DTX4;DUSP23;DYM;DYNLRB1;EARS2;EBNA1BP2;ECE2;ECH1;ECHDC3;ECHS1;EDEM2;EDF1;EEF1A1;EEF2;EEF2KMT;EEFSEC;EFHD2;EHD4;EIF3D;EIF3F;EIF3G;EIF3H;EIF3L;EIF4B;EIF4EBP1;EIF4EBP3;EIF4H;EIF5A;EIPR1;ELF4;ELK1;ELOB;ELOF1;ELOVL1;EMC10;EMC4;EMC8;EMD;ENOPH1;ENOX2;ENTHD1;EPHB2;ERAL1;ERCC1;ERGIC1;ERGIC3;ERI3;ERLIN1;ERP29;ESYT1;ETHE1;EVX2;EXOSC1;EXOSC4;EXOSC5;FAF1;FAH;FAHD1;FAM104A;FAM120AOS;FAM174C;FAM32A;FAM89A;FANCE;FARS2;FARSA;FAU;FBL;FCGRT;FEN1;FGFRL1;FGGY;FHL3;FIBP;FIS1;FKBP4;FLAD1;FLII;FLOT1;FLOT2;FOXA3;FPGS;FTSJ1;FUCA2;FUOM;FXN;FXYD4;G6PC3;GABRA6;GADD45GIP1;GALNT10;GANAB;GAPDH;GATAD2A;GATB;GBGT1;GCAT;GCHFR;GCK;GDE1;GET3;GFPT2;GGCX;GGT1;GHDC;GLB1;GLE1;GLIPR2;GLMP;GLTPD2;GLYR1;GMDS;GMPR2;GNA12;GNAI2;GNAS;GNB1L;GNB2;GNPDA1;GNPTG;GORASP2;GOT2;GPD1;GPR108;GPR45;GPX1;GPX4;GRHPR;GRN;GRWD1;GSC;GSK3A;GSN;GSTK1;GSTP1;GTF3A;GUCD1;GUK1;GYG1;GYPC;GYS1;H2BC12;HAND2;HARS1;HAUS1;HCK;HCST;HDAC1;HDDC3;HDHD5;HDLBP;HEXA;HIBADH;HIGD2A;HINT1;HINT2;HK1;HLA-DPB1;HLA-DQA2;HLA-DRA;HMBS;HMGA1;HMGCL;HMOX2;HNRNPA1;HNRNPF;HNRNPL;HOMEZ;HP;HS1BP3;HSD17B10;HSF1;HSP90AB1;HTR1A;HTRA2;HYAL3;IAH1;IARS2;ID2;IDH2;IDH3G;IFITM1;IFITM2;IFITM3;IFRD2;IGBP1;IKBIP;IKBKG;IL12RB1;IL13;IL13RA2;IL18BP;ILVBL;IMP4;IMPA2;IMPDH2;INTS9;IPO13;IPO5;IRAK1;IRF5;ISG15;ISOC2;ITGAL;ITGB2;ITPK1;ITPKA;IVD;JAGN1;JTB;KARS1;KAT5;KATNB1;KBTBD4;KCNAB2;KCNQ2;KCTD17;KDELR1;KDELR2;KDF1;KHDRBS1;KHSRP;KIAA0100;KIAA2013;KRT33B;KRT84;KRTAP26-1;KTI12;KXD1;LAGE3;LAMTOR1;LAMTOR2;LAMTOR4;LARGE2;LAT2;LCMT1;LGALS1;LGALS3BP;LGI3;LHPP;LIMK1;LIPC;LMAN2;LMF2;LONP1;LRP10;LRPAP1;LRRC14B;LRRC25;LRRC41;LRRC42;LRRC8D;LRRC8E;LSM10;LSM2;LSM4;LSR;LYPLA2;M1AP;MAD1L1;MAD2L1BP;MAD2L2;MAGEA2B;MAIP1;MALL;MALSU1;MAN1C1;MAN2B2;MANEAL;MAP1LC3B2;MAP1S;MAP2K1;MAP2K2;MAP3K11;MAPKAPK2;MARCHF2;MARS2;MAZ;MBOAT7;MBP;MCEMP1;MCHR2;MCM6;MCRS1;MDH2;MEA1;MECR;MED11;MED27;MED29;MEGF9;METAP1;METRNL;METTL7B;MFN2;MFSD2A;MFSD5;MGAT1;MGRN1;MGST2;MGST3;MICOS13;MICU1;MIEF1;MIEN1;MIF4GD;MLF2;MLST8;MLX;MMP17;MMP24OS;MOB3A;MPC1L;MPI;MPND;MPV17L2;MPZL1;MRPL10;MRPL11;MRPL12;MRPL15;MRPL17;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL34;MRPL36;MRPL37;MRPL4;MRPL51;MRPL54;MRPL57;MRPL9;MRPS11;MRPS12;MRPS15;MRPS16;MRPS18A;MRPS18B;MRPS2;MRPS24;MRPS27;MRPS34;MRPS7;MRTFA;MSANTD3;MSN;MSRA;MSRB2;MT1F;MTHFS;MTLN;MTPN;MUL1;MVP;MYBBP1A;MYBPHL;MYD88;MYDGF;MYL12A;NAA38;NABP2;NACA;NAGA;NAGLU;NANP;NAPSA;NAXE;NBDY;NCDN;NCLN;NCR2;NDC1;NDRG3;NDUFA11;NDUFA12;NDUFA2;NDUFA8;NDUFAF3;NDUFAF8;NDUFB10;NDUFB11;NDUFB2;NDUFB6;NDUFB7;NDUFC1;NDUFS6;NDUFS7;NDUFS8;NECAP2;NECTIN2;NEDD8;NENF;NFYC;NGFR;NHEJ1;NHLH2;NHP2;NIPSNAP1;NKIRAS2;NKX2-3;NME1-NME2;NME2;NMT1;NOB1;NOC2L;NOC4L;NONO;NPAS2;NPM3;NR1H2;NRL;NRM;NRROS;NSMCE1;NT5C3B;NTMT1;NUBP1;NUCB1;NUDT1;NUDT14;NUDT22;NUFIP1;NUP188;NUTF2;OAS2;OAS3;OASL;OAT;OAZ1;OGDH;OGFOD1;OGFOD3;OLFM1;OLIG3;OR10H1;OR2H2;OR52K2;ORAI1;OS9;OST4;OTOP1;OTOP3;OTUB1;OXA1L;P4HB;PAFAH2;PAPPA;PAQR4;PARD6A;PARK7;PARP1;PARP16;PARP9;PCBD1;PCBP1;PCDHAC1;PCK2;PCNA;PCOLCE2;PCP4L1;PDCD2L;PDCL3;PDE4A;PDE6D;PDHB;PDIA3;PDIA4;PDIA6;PDZD11;PEBP1;PEBP4;PEF1;PEPD;PES1;PEX14;PEX16;PEX19;PFKL;PFN1;PGAM1;PGAP6;PHB;PHB2;PHF23;PHF5A;PHLDA3;PHPT1;PIGO;PIGT;PIGU;PILRA;PKM;PLA2G2A;PLAAT3;PLB1;PLEKHM1;PLEKHM2;PLIN3;PLOD1;PLOD3;PLP2;PLPPR2;PLSCR5;PNMA6E;PNPO;POLD4;POLDIP2;POLR1D;POLR1E;POLR2C;POLR2E;POLR2G;POLR2J;POLR2L;POLR3B;POLR3K;POMGNT1;POP4;POR;PPIA;PPIB;PPM1M;PPP1CA;PPP1R14B;PPP2R1A;PPP4C;PPP6R1;PQBP1;PRADC1;PRCC;PRDX3;PRDX4;PREB;PRELID1;PREP;PRICKLE3;PRKACA;PRKAG1;PRMT1;PRMT5;PRPF19;PRPS1;PRPS2;PRR19;PRR23C;PSMA7;PSMB10;PSMB4;PSMB5;PSMB6;PSMC3;PSMD10;PSMD2;PSMD3;PSMD8;PSMD9;PSME1;PSME2;PSMF1;PSMG3;PTBP1;PTCRA;PTDSS1;PTGES;PTPMT1;PTPN18;PTPN6;PTPN9;PTPRO;PUF60;PUSL1;PYCARD;PYCR1;PYCR2;PYCR3;PYGB;PYM1;QARS1;QPCTL;QSOX1;RAB13;RAB1B;RAB20;RAB29;RAB33A;RAB34;RAB35;RAB3IL1;RAB5C;RAB8A;RABEPK;RAC3;RACK1;RAD23A;RANBP1;RAPGEF1;RASGRP4;RAVER1;RBFA;RBM8A;RCC1;RCN1;REEP4;RELA;RER1;RFT1;RFXANK;RGS10;RGS19;RHBDD2;RHBDF2;RHOD;RIC8A;RILP;RIN1;RIN3;RINL;RMDN3;RMND1;RNASEH2A;RNF10;RNF113A;RNF126;RNF167;RNF220;RNF4;RNF41;RNF5;RNH1;RNPEPL1;ROMO1;ROPN1;RPH3AL;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37;RPL37A;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPP25;RPP25L;RPP40;RPS11;RPS12;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS27;RPS28;RPS29;RPS3;RPS5;RPS6;RPS6KA4;RPS7;RPS8;RPS9;RPUSD2;RRNAD1;RRP1;RRP9;RRS1;RSU1;RTCB;RTF2;RTN2;RTN4R;RTN4RL2;RYR1;S100A16;S100A6;SAE1;SAMM50;SASH3;SCAMP3;SCAMP4;SCYL1;SDF2L1;SDHA;SEC13;SEC24D;SEL1L3;SELENOH;SELENOM;SELENON;SELPLG;SEPHS2;SEPTIN6;SEPTIN9;SERBP1;SERF2;SERINC2;SERPINF1;SF3B2;SF3B3;SF3B4;SF3B5;SFRP5;SFTA2;SFTPA1;SFTPB;SFTPC;SGTA;SH3BP1;SH3GL1;SHARPIN;SHC1;SHISA5;SHKBP1;SHMT1;SHMT2;SIGLEC1;SIGLEC11;SIGLEC14;SIGMAR1;SIRT2;SLBP;SLC15A4;SLC16A1;SLC16A13;SLC22A11;SLC22A18;SLC25A11;SLC25A20;SLC25A22;SLC25A23;SLC25A26;SLC25A3;SLC25A39;SLC25A5;SLC25A6;SLC27A4;SLC34A1;SLC35A2;SLC35A4;SLC35B2;SLC35C1;SLC35C2;SLC39A1;SLC52A2;SLC66A2;SLC6A11;SLC9A1;SMARCB1;SMIM29;SMYD5;SNAI3;SNAPC2;SNAPIN;SNCB;SNRNP25;SNRPB;SNRPC;SNRPD2;SNU13;SNUPN;SNX11;SNX12;SNX17;SNX3;SNX8;SOD3;SP9;SPCS1;SPG21;SPRR2A;SPRYD4;SREBF2;SRM;SRP14;SRP68;SRSF9;SSNA1;SSR2;SSR4;SSRP1;SSTR2;SSU72;ST14;ST6GALNAC4;ST7;STAC;STAT5A;STAT6;STEAP1;STIM1;STIMATE;STING1;STIP1;STK10;STK16;STMP1;STOML2;STX10;STXBP2;SUGCT;SUMF1;SUMF2;SUMO3;SUN2;SUOX;SUPT4H1;SURF4;SYNGR2;SYS1;SYVN1;SZRD1;TAF10;TBC1D10A;TBC1D22A;TBC1D25;TBCB;TBL3;TCEAL8;TCHHL1;TCN2;TCTA;TDGF1;TDRKH;TECR;TESC;TESK1;TEX264;TFPT;TGFA;TGFB1;TGFBI;TGM2;THAP4;THOC5;THTPA;TIGD6;TIMM17B;TIMM8B;TIMP1;TINF2;TK2;TKFC;TLR1;TM2D2;TM6SF2;TM9SF2;TM9SF4;TMBIM1;TMBIM6;TMC6;TMCO4;TMED10;TMED3;TMED9;TMEM104;TMEM11;TMEM141;TMEM147;TMEM14C;TMEM161A;TMEM164;TMEM171;TMEM179B;TMEM185B;TMEM205;TMEM208;TMEM214;TMEM219;TMEM230;TMEM241;TMEM258;TMEM35B;TMEM45B;TMEM54;TNFAIP8L2;TNFRSF1A;TNFSF13;TNIP2;TOMM40L;TOMM7;TOR1A;TOR2A;TOX;TP53I11;TP53RK;TPD52L2;TPI1;TPO;TPRA1;TPT1;TRAF7;TRAP1;TRAPPC1;TRAPPC2L;TRAPPC3;TRAPPC9;TRIM21;TRIM28;TRIM6-TRIM34;TRIM8;TRIR;TRMT112;TRPV2;TRPV4;TRUB2;TSKU;TSPAN14;TSPO;TST;TSTA3;TTC27;TTC39A;TTI2;TTLL12;TUBA1B;TUBA4A;TUBB6;TUBG1;TUFM;TWF2;TXN2;TXNDC5;TYROBP;U2AF2;UBA1;UBA52;UBALD2;UBB;UBE2D2;UBE2D4;UBE2I;UBE2J2;UBE2L3;UBE2L6;UBE2M;UBE2S;UBE2Z;UBE3C;UBIAD1;UBL5;UBL7;UBQLN4;ULBP3;UMPS;UNC93B1;UQCR10;UQCR11;UQCRC1;UQCRQ;URB2;URM1;UROD;USF2;USP11;USP39;USP5;UXT;VARS1;VASP;VAT1;VCP;VEGFB;VKORC1;VOPP1;VPS11;VPS18;VPS25;VPS26B;VPS33A;VPS37C;VRTN;VSIG4;WBP11;WDR1;WDR3;WDR4;WDR46;WDR81;WDR83OS;XPO6;XRCC5;XRCC6;XRN2;YARS2;YBX1;YIF1A;YIF1B;YIPF3;YJU2;YKT6;YWHAE;YWHAH;YWHAQ;ZDHHC12;ZDHHC24;ZDHHC4;ZFPL1;ZMAT2;ZMAT5;ZNF365;ZNF511;ZNRD2;ZP3;ZPLD1
