,go,pv,k,n,N,genes
37,GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,1.637050858126594e-14,85,329,837,ACSL1;ADAM17;BATF;CARD14;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CCR3;CD44;CD80;CD86;CHUK;CLCF1;CNOT9;CSF1;CSF2RB;CSF3R;CUL1;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;IFI30;IFNAR2;IFNLR1;IL1A;IL1B;IL1R2;IL23A;IL24;IL2RA;IL4R;IL9R;IRAK3;IRF4;ITGAM;ITGAX;LCN2;LIF;LMNB1;LRP8;MAP3K14;MAP3K8;OSM;OTULIN;PIK3CB;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTGS2;PTPN1;PTPN2;PTPRC;RBM15;RUNX1;SNRPA1;SOCS3;SPPL2A;STAP1;STK39;STX3;STX4;TCP1;TEC;TFF2;TNF;TNFRSF13C;TNFRSF9;TNFSF14;TNFSF8;TNFSF9;UBC;UBE2V1;UGCG;VAV1;YWHAZ;ZC3H15
53,GO_CELL_ACTIVATION,5.235807164242444e-14,128,605,837,ABAT;ADAM10;ADAM17;ADGRE2;ADGRG3;ARG2;ARHGAP9;ARMC8;ATG5;ATP6V0A1;ATP8B4;AZI2;BATF;BCL10;BCL3;BIN2;C12orf4;C5AR1;CCL2;CCL3;CD180;CD274;CD44;CD58;CD80;CD83;CD84;CD86;CD8A;CDH26;CEBPG;CGAS;CHIT1;CLC;CLCF1;CLEC7A;CLECL1;CSF1;CTSZ;CXCL1;CXCL8;CYBB;FANCD2;FCAR;FCGR2B;FGG;FGR;FOXN1;GAPT;GPNMB;GPR84;HSPA6;IL1B;IL23A;IL2RA;IL4R;IQGAP2;IRF4;IST1;ITGAM;ITGAX;JAML;JMJD6;LCN2;LIG4;LILRB1;LILRB3;LRRK2;MALT1;MANBA;MAP3K8;MERTK;MMP25;MOSPD2;NFKB2;NFKBID;NFKBIZ;NHLRC3;OLR1;ORM1;ORM2;P2RX1;PIGR;PIK3CB;PIK3R5;PNP;PPP2R3C;PRG2;PSMD12;PSMD6;PTAFR;PTPN2;PTPN22;PTPRC;QPCT;RAP2C;RUNX1;S100A8;S100P;SAMSN1;SDCBP;SHLD2;SHLD3;SIGLEC9;SKAP2;SLC11A1;SLURP1;STAP1;STX4;SWAP70;TCIRG1;TCN1;TEC;TGFBR1;TICAM1;TLR2;TLR6;TNF;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;TREML2;VAV1;VNN1;YWHAZ;ZC3H12A
237,GO_RESPONSE_TO_CYTOKINE,5.971615823019255e-14,112,502,837,ACSL1;ADAM10;ADAM17;BATF;CARD14;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CCR3;CD274;CD44;CD58;CD80;CD86;CDK9;CHUK;CLCF1;CNOT9;CSF1;CSF2RB;CSF3R;CTH;CUL1;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;FGG;FOSL1;GNPNAT1;IFI16;IFI30;IFNAR2;IFNLR1;IL1A;IL1B;IL1R2;IL23A;IL24;IL2RA;IL4R;IL9R;IRAK3;IRF4;ITGAM;ITGAX;LCN2;LIF;LMNB1;LRP8;MAP3K14;MAP3K8;MPC1;NEFH;NFKB2;NLRP12;OSM;OTULIN;PIGA;PIK3CB;PNPT1;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTGS2;PTP4A3;PTPN1;PTPN2;PTPRC;RBM15;REL;RUNX1;SLC11A1;SLC2A4;SNRPA1;SOCS3;SPPL2A;STAP1;STK39;STX3;STX4;TAF9;TCIRG1;TCP1;TEC;TFF2;TLE4;TLR2;TNF;TNFRSF13C;TNFRSF21;TNFRSF9;TNFSF14;TNFSF8;TNFSF9;UBC;UBE2G2;UBE2V1;UGCG;USP10;VAV1;YWHAZ;ZC3H12A;ZC3H15
147,GO_INFLAMMATORY_RESPONSE,6.057571545325004e-14,73,267,837,ACER3;ADGRE2;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CCR3;CD163;CD180;CD44;CHUK;CLEC7A;CSF1;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYBB;CYP19A1;FANCD2;FCGR2B;IFI16;IL1A;IL1B;IL1R2;IL23A;IL2RA;IL4R;ITGAM;LIPA;LPL;LRRK2;MCPH1;MMP25;NFKB2;NFKBID;NFKBIZ;NLRP12;OLR1;ORM1;ORM2;OSM;OTULIN;P2RX1;PLA2G7;PLAA;PSMA1;PTAFR;PTGS2;PTPN2;PTPRC;REL;S100A8;SEH1L;SERPINF2;SLC11A1;SMPDL3B;SOCS3;STAP1;STK39;TCIRG1;TICAM1;TLR2;TLR6;TNF;TNIP3;VNN1;ZC3H12A
70,GO_DEFENSE_RESPONSE,4.177383684778964e-12,131,661,837,ACER3;ADAM17;ADGRE2;APOBEC3B;ARG2;ARID5A;BATF;BCL10;BCL3;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CCR3;CD163;CD180;CD207;CD44;CD58;CD83;CD84;CEBPG;CGAS;CHUK;CLEC7A;CSF1;CSF3R;CUL1;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYBB;CYP19A1;FANCD2;FCGR2B;FGG;FGR;FOSL1;FOXN1;IFI16;IFI30;IFNAR2;IFNLR1;IL1A;IL1B;IL1R2;IL23A;IL2RA;IL4R;IRAK3;IRF4;ITGAM;KCNN4;LCN2;LILRB1;LILRB3;LIPA;LPL;LRP8;LRRK2;MALT1;MAP3K14;MATR3;MCPH1;MMP25;MUC5AC;NCF1;NFKB2;NFKBID;NFKBIZ;NLRP12;OLR1;ORM1;ORM2;OSM;OTULIN;P2RX1;PADI4;PLA2G7;PLAA;POLR3G;PRG2;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTGS2;PTPN1;PTPN2;PTPN22;PTPRC;REL;RIOK3;S100A8;SEH1L;SERPINF2;SLC11A1;SMPDL3B;SOCS3;SP140;SRPK1;STAP1;STK39;STX4;TCIRG1;TICAM1;TLR2;TLR6;TNF;TNFSF8;TNIP3;TREML2;TREML4;UBC;UBE2D1;UBE2V1;USP14;VAV1;VNN1;WFDC12;ZC3H12A;ZMPSTE24
142,GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,2.371732218749734e-11,127,649,837,ADAM10;ADAM17;ADGRE2;ADTRP;AKIRIN1;ARG2;ATG5;BCL10;BTNL10;C12orf4;C5AR1;C5AR2;CCL2;CCL3;CCL4;CCL7;CD274;CD80;CD83;CD84;CD86;CD8A;CGAS;CHUK;CLC;CLCF1;CLEC7A;CLECL1;CSF1;CSF3R;CUL1;CXCL8;CYP19A1;FANCD2;FCGR2B;FGG;FGR;FOXN1;GPNMB;H4C5;H4C6;IFI16;IFNAR2;IFNLR1;IL1B;IL23A;IL2RA;IL4R;IRAK3;IRF4;ITGAM;JAML;KCNN4;KLHL6;LIF;LILRB1;LILRB3;LRP8;LRRK2;MALT1;MAP3K8;MATR3;MERTK;MOSPD2;MPP1;MUC5AC;NCR3LG1;NFKBID;NFKBIZ;ORM1;ORM2;OSM;OTULIN;PIGR;PIK3CB;PLA2G7;PNP;POLR3G;PPP2R3C;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTPN1;PTPN2;PTPN22;PTPRC;RBM15;RIOK3;RUNX1;S100A8;SAMSN1;SHLD2;SHLD3;SIGLEC9;SLC11A1;SLC8B1;SMPDL3B;SOCS3;SPPL2A;STAP1;STK39;STX4;SWAP70;TEC;TICAM1;TLR2;TLR6;TNF;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;TNIP3;TREML2;TREML4;UBC;UBE2D1;UBE2V1;VAV1;VNN1;ZC3H12A;ZMPSTE24
2,GO_REGULATION_OF_CELL_ACTIVATION,6.23885256294665e-11,59,222,837,ABAT;ADGRE2;ARG2;BCL10;C12orf4;CCL2;CCL3;CD274;CD80;CD83;CD84;CD86;CGAS;CLC;CLCF1;CLEC7A;CLECL1;FANCD2;FCGR2B;FGG;FGR;FOXN1;GPNMB;IL1B;IL23A;IL2RA;IL4R;IRF4;ITGAM;LILRB1;LRRK2;MALT1;MAP3K8;MERTK;NFKBID;NFKBIZ;PNP;PPP2R3C;PTAFR;PTPN2;PTPN22;PTPRC;RUNX1;SAMSN1;SHLD2;SHLD3;STAP1;STX4;TEC;TICAM1;TLR6;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;VAV1;VNN1;ZC3H12A
220,GO_RESPONSE_TO_BIOTIC_STIMULUS,7.479670729697272e-11,122,625,837,ADAM17;ALPL;APOBEC3B;ARG2;ARID5A;ATG5;BATF;BCL10;BCL3;C5AR1;CASP9;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CD180;CD207;CD274;CD44;CD58;CD80;CD84;CD86;CEBPG;CGAS;CHIT1;CHUK;CLEC7A;CSF1;CSF2RB;CUL1;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYBB;CYP1A1;EME1;FCGR2B;FGG;FGR;FOSL1;IFI16;IFI30;IFNAR2;IFNLR1;IL1A;IL1B;IL23A;IL24;IL2RA;IL4R;IRAK3;IRF4;ITGAM;IVNS1ABP;KLHL6;LCN2;LILRB1;LPL;LRP8;MALT1;MAP3K14;MATR3;MUC5AC;NCF1;NFKB2;NFKBIB;ODC1;OTULIN;PADI4;PI3;PIM2;PLAA;POLR3G;PPP1R15B;PPP2R3C;PRG2;PSMA1;PSMA3;PSMC6;PSMD12;PSMD6;PSME4;PTAFR;PTGS2;PTPN1;PTPN2;PTPN22;PTPRC;RIOK3;S100A8;SCARB1;SEH1L;SLC10A2;SLC11A1;SMPDL3B;SOCS3;SRPK1;STAP1;STX4;TICAM1;TLR2;TLR6;TNF;TNFSF8;TNIP3;TREML2;TREML4;UBC;UBE2D1;UBE2V1;USP14;VAV1;VNN1;VWCE;WFDC12;ZC3H12A;ZMPSTE24
67,GO_LEUKOCYTE_CHEMOTAXIS,8.532063609247983e-11,34,93,837,ADAM10;ADAM17;ADGRE2;AKIRIN1;C5AR1;C5AR2;CCL11;CCL2;CCL3;CCL3L3;CCL4;CCL7;CSF1;CSF3R;CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CYP19A1;IL1A;IL1B;IL23A;JAML;MOSPD2;MPP1;PLA2G7;S100A8;SLC8B1;STAP1;STK39;SWAP70;TNFSF14;VAV1
96,GO_LYMPHOCYTE_ACTIVATION,1.3867097055238142e-10,66,267,837,ADAM17;ADGRG3;ARG2;ATG5;AZI2;BATF;BCL10;BCL3;CCL2;CD180;CD274;CD44;CD80;CD83;CD86;CD8A;CDH26;CEBPG;CGAS;CLC;CLCF1;CLEC7A;CLECL1;FANCD2;FCGR2B;FGR;FOXN1;GAPT;GPNMB;IL1B;IL23A;IL2RA;IL4R;IRF4;JAML;JMJD6;LIG4;LILRB1;MALT1;MAP3K8;MERTK;NFKBID;NFKBIZ;PNP;PPP2R3C;PTPN2;PTPN22;PTPRC;RUNX1;SAMSN1;SHLD2;SHLD3;SKAP2;SLC11A1;SWAP70;TCIRG1;TICAM1;TNFRSF13C;TNFRSF21;TNFSF14;TNFSF8;TNFSF9;TREML2;VAV1;VNN1;ZC3H12A
